                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.63322,                0.48428,                 1.0223,                 0.8945,                0.75539,                0.81272,                0.52275,                 1.2715,                0.67626,                 1.4956,             0.00050901,             0.00050901,             0.00050901
                     90,                0.63906,                0.49327,                 1.0258,                0.93539,                 0.7363,                0.81804,                 0.5161,                 1.2981,                0.69497,                 1.5161,             0.00050665,             0.00050665,             0.00050665
                     91,                 0.6198,                0.47655,                 1.0215,                0.90547,                0.73253,                0.81364,                0.54066,                   1.23,                0.68345,                  1.474,              0.0005043,              0.0005043,              0.0005043
                     92,                0.62246,                0.47259,                 1.0215,                0.92707,                0.72823,                0.80968,                0.53431,                 1.2374,                0.66848,                 1.4681,             0.00050194,             0.00050194,             0.00050194
                     93,                0.61924,                0.47071,                 1.0151,                0.93638,                0.72677,                0.82088,                 0.5394,                 1.2431,                0.65901,                 1.5036,             0.00049959,             0.00049959,             0.00049959
                     94,                0.61149,                0.46323,                 1.0122,                0.93517,                0.74905,                0.83373,                0.53894,                 1.2678,                0.65703,                 1.5011,             0.00049723,             0.00049723,             0.00049723
                     95,                0.60738,                0.46514,                 1.0109,                0.89993,                0.76311,                0.82349,                0.51687,                 1.3446,                0.68596,                 1.5906,             0.00049487,             0.00049487,             0.00049487
                     96,                0.61359,                0.46536,                 1.0132,                0.89034,                 0.7567,                0.81674,                0.53376,                  1.258,                0.66495,                 1.5009,             0.00049252,             0.00049252,             0.00049252
                     97,                0.61083,                 0.4624,                  1.009,                0.88026,                0.75581,                 0.8199,                0.54565,                 1.2042,                0.63189,                 1.4623,             0.00049016,             0.00049016,             0.00049016
                     98,                 0.6014,                0.46049,                 1.0056,                0.89175,                0.76857,                0.82291,                0.54819,                 1.2086,                0.61926,                   1.48,              0.0004878,              0.0004878,              0.0004878
                     99,                0.60044,                0.44777,                 1.0051,                0.92666,                0.74409,                0.82324,                0.54208,                 1.2169,                0.66791,                 1.4907,             0.00048545,             0.00048545,             0.00048545
                    100,                0.59769,                0.45108,                 1.0063,                 0.9163,                 0.7378,                0.82815,                0.53065,                 1.2922,                0.64998,                 1.5267,             0.00048309,             0.00048309,             0.00048309
                    101,                0.60918,                0.45943,                 1.0006,                 0.8868,                0.77683,                0.83142,                0.54431,                 1.2427,                0.64511,                 1.5099,             0.00048074,             0.00048074,             0.00048074
                    102,                 0.5965,                0.45429,                0.99979,                0.94281,                0.73323,                0.82266,                0.52802,                  1.311,                0.66804,                 1.5615,             0.00047838,             0.00047838,             0.00047838
                    103,                0.60479,                0.46126,                 1.0027,                  0.926,                0.76301,                0.83385,                0.54128,                 1.2565,                0.64917,                 1.5204,             0.00047602,             0.00047602,             0.00047602
                    104,                0.59488,                0.44618,                 1.0033,                0.92441,                0.76348,                0.82718,                0.54592,                 1.2526,                0.63042,                 1.5046,             0.00047367,             0.00047367,             0.00047367
                    105,                0.58459,                0.43741,                0.99488,                 0.9433,                0.75048,                0.83967,                0.54901,                 1.2597,                0.62696,                 1.5041,             0.00047131,             0.00047131,             0.00047131
